iceberg_id,latitude,longitude,area_km2,confidence,timestamp,pixel_count,id,size_major_km,size_minor_km
IB_221,-65.686655,136.057961,0.016,0.7242,2021-03-10 10:48:42,10,IB_221,0.1427299292922217,0.1427299292922217
IB_222,-65.831001,135.947776,0.0144,0.5599,2021-03-10 10:48:42,9,IB_222,0.1354055000514615,0.1354055000514615
IB_223,-65.834485,136.019717,0.0144,0.5349,2021-03-10 10:48:42,9,IB_223,0.1354055000514615,0.1354055000514615
IB_224,-66.045439,136.206411,0.0128,0.5967,2021-03-10 10:48:42,8,IB_224,0.12766152972845846,0.12766152972845846
IB_225,-66.033145,136.350922,0.0128,0.7062,2021-03-10 10:48:42,8,IB_225,0.12766152972845846,0.12766152972845846
IB_226,-65.857784,136.039155,0.0128,0.5137,2021-03-10 10:48:42,8,IB_226,0.12766152972845846,0.12766152972845846
IB_227,-65.980373,136.375578,0.0128,0.6349,2021-03-10 10:48:42,8,IB_227,0.12766152972845846,0.12766152972845846
IB_228,-65.745622,135.817046,0.0128,0.5855,2021-03-10 10:48:42,8,IB_228,0.12766152972845846,0.12766152972845846
IB_229,-65.75002,135.90223,0.0128,0.5927,2021-03-10 10:48:42,8,IB_229,0.12766152972845846,0.12766152972845846
IB_230,-65.978114,135.808219,0.0112,0.537,2021-03-10 10:48:42,7,IB_230,0.11941642642883693,0.11941642642883693
IB_231,-66.094332,136.260813,0.0112,0.6785,2021-03-10 10:48:42,7,IB_231,0.11941642642883693,0.11941642642883693
IB_232,-66.029016,136.30295,0.0112,0.8648,2021-03-10 10:48:42,7,IB_232,0.11941642642883693,0.11941642642883693
IB_233,-65.815551,136.445568,0.0112,0.5505,2021-03-10 10:48:42,7,IB_233,0.11941642642883693,0.11941642642883693
IB_234,-65.698214,136.160498,0.0112,0.5735,2021-03-10 10:48:42,7,IB_234,0.11941642642883693,0.11941642642883693
IB_235,-65.807231,136.616224,0.0112,0.5021,2021-03-10 10:48:42,7,IB_235,0.11941642642883693,0.11941642642883693
IB_236,-65.964657,135.856832,0.0096,0.6229,2021-03-10 10:48:42,6,IB_236,0.11055812783082736,0.11055812783082736
IB_237,-65.973976,136.221696,0.0096,0.6663,2021-03-10 10:48:42,6,IB_237,0.11055812783082736,0.11055812783082736
IB_238,-66.012545,136.34329,0.0096,0.6518,2021-03-10 10:48:42,6,IB_238,0.11055812783082736,0.11055812783082736
IB_239,-65.827517,136.100016,0.0096,0.511,2021-03-10 10:48:42,6,IB_239,0.11055812783082736,0.11055812783082736
IB_240,-65.721244,136.107172,0.0096,0.5064,2021-03-10 10:48:42,6,IB_240,0.11055812783082736,0.11055812783082736
IB_241,-65.974254,135.841698,0.008,0.6824,2021-03-10 10:48:42,5,IB_241,0.10092530088080641,0.10092530088080641
IB_242,-65.986255,136.148351,0.008,0.5183,2021-03-10 10:48:42,5,IB_242,0.10092530088080641,0.10092530088080641
IB_243,-65.872852,136.031991,0.008,0.5446,2021-03-10 10:48:42,5,IB_243,0.10092530088080641,0.10092530088080641
IB_244,-65.954576,136.420212,0.008,0.5843,2021-03-10 10:48:42,5,IB_244,0.10092530088080641,0.10092530088080641
IB_245,-65.814946,136.476109,0.008,0.5498,2021-03-10 10:48:42,5,IB_245,0.10092530088080641,0.10092530088080641
IB_246,-65.699308,136.25117,0.008,0.5002,2021-03-10 10:48:42,5,IB_246,0.10092530088080641,0.10092530088080641
